SET
    dbms    | table_catalog | table_schema |                 table_name                 |       column_name        | ordinal_position |        data_type         | character_maximum_length | constraint_type | table_schema |            table_name            | column_name 
------------+---------------+--------------+--------------------------------------------+--------------------------+------------------+--------------------------+--------------------------+-----------------+--------------+----------------------------------+-------------
 postgresql | boottracker   | public       | django_migrations                          | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | django_content_type                        | id                       |                1 | integer                  |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | django_content_type                        | app_label                |                3 | character varying        |                      100 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | django_content_type                        | model                    |                4 | character varying        |                      100 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | auth_permission                            | id                       |                1 | integer                  |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | auth_group                                 | id                       |                1 | integer                  |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | auth_group_permissions                     | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | auth_permission                            | content_type_id          |                3 | integer                  |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | auth_permission                            | codename                 |                4 | character varying        |                      100 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | auth_permission                            | content_type_id          |                3 | integer                  |                          | FOREIGN KEY     | public       | django_content_type              | id
 postgresql | boottracker   | public       | auth_group_permissions                     | group_id                 |                2 | integer                  |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | auth_group_permissions                     | permission_id            |                3 | integer                  |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | auth_group_permissions                     | group_id                 |                2 | integer                  |                          | FOREIGN KEY     | public       | auth_group                       | id
 postgresql | boottracker   | public       | auth_group_permissions                     | permission_id            |                3 | integer                  |                          | FOREIGN KEY     | public       | auth_permission                  | id
 postgresql | boottracker   | public       | auth_group                                 | name                     |                2 | character varying        |                      150 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | id                       |                4 | uuid                     |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | email                    |                5 | character varying        |                      254 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser_groups           | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser_user_permissions | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser_groups           | customuser_id            |                2 | uuid                     |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser_groups           | group_id                 |                3 | integer                  |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser_groups           | customuser_id            |                2 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | authentication_customuser_groups           | group_id                 |                3 | integer                  |                          | FOREIGN KEY     | public       | auth_group                       | id
 postgresql | boottracker   | public       | authentication_customuser_user_permissions | customuser_id            |                2 | uuid                     |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser_user_permissions | permission_id            |                3 | integer                  |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser_user_permissions | customuser_id            |                2 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | authentication_customuser_user_permissions | permission_id            |                3 | integer                  |                          | FOREIGN KEY     | public       | auth_permission                  | id
 postgresql | boottracker   | public       | django_admin_log                           | id                       |                1 | integer                  |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | django_admin_log                           | content_type_id          |                7 | integer                  |                          | FOREIGN KEY     | public       | django_content_type              | id
 postgresql | boottracker   | public       | django_admin_log                           | user_id                  |                8 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | authentication_customuser                  | cedula                   |               14 | character varying        |                       10 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | programs_program                           | id                       |                1 | uuid                     |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | id                       |                1 | uuid                     |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | program_id               |                7 | uuid                     |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | email                    |                2 | character varying        |                      254 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | program_id               |                7 | uuid                     |                          | FOREIGN KEY     | public       | programs_program                 | id
 postgresql | boottracker   | public       | leads_lead                                 | id                       |                1 | uuid                     |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | id                       |                1 | uuid                     |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | owner_id                 |               13 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | leads_interaction                          | salesperson_id           |                8 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | leads_interaction                          | lead_id                  |                9 | uuid                     |                          | FOREIGN KEY     | public       | leads_lead                       | id
 postgresql | boottracker   | public       | leads_lead                                 | program_id               |               14 | uuid                     |                          | FOREIGN KEY     | public       | programs_program                 | id
 postgresql | boottracker   | public       | payments_payment                           | id                       |                1 | uuid                     |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | bootcamper_id            |               17 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | payments_payment                           | program_id               |               18 | uuid                     |                          | FOREIGN KEY     | public       | programs_program                 | id
 postgresql | boottracker   | public       | payments_payment                           | validated_by_id          |               19 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | django_session                             | session_key              |                1 | character varying        |                       40 | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | jti                      |                7 | character varying        |                      255 | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | user_id                  |                6 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | token_blacklist_blacklistedtoken           | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_blacklistedtoken           | token_id                 |                3 | bigint                   |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_blacklistedtoken           | token_id                 |                3 | bigint                   |                          | FOREIGN KEY     | public       | token_blacklist_outstandingtoken | id
 postgresql | boottracker   | public       | authentication_customuser                  | last_name                |                7 | character varying        |                      150 |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | role                     |                9 | character varying        |                       20 |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | recipient_type           |                4 | character varying        |                        2 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | created_at               |               11 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | updated_at               |               16 | timestamp with time zone |                          |                 |              |                                  | 
